id,Type,Dates,Observatory,Reference Frame,Centre of Frame,Epoch of Equinox,Time Scale,Reduction,Coordinates,Diffraction,Receptor,Telescope,Observers,Relative To
jg0001,relative,1891-1978,no informations,astrometric,topocentre,B1950,UTC,no information,tangential,no information,photographic,no information,no information,
jg0002,relative,1998-1998,084 - Pulkovo,astrometric,topocentre,date,UTC,no information,"X, Y",removed,"CCD, ST-6, field 3' x 2'","Refractor, F = 10.4 m, D = 62 cm","Kisseleva T.P., Izmailov I.S.","J1-Io:      2,"
jg0003,absolute,1998-1998,808 - El Leoncito,apparent,geocentre,date,TT,referred to the 1976 IAU reference system,absolute,removed,meridian,"San Fernando Automatic Meridian Circle, D = 18 cm","Belizon F., Mallamacci C., Marmolejo L.,",absolute
jg0004,absolute,1983-1985,089 - Nikolaev,astrometric,topocentre,B1950,UTC,no information,absolute,no information,photographic,"Zonal astrograph, D = 120 mm, F = 2044mm","Voronenko V.I., Gorel G.K.",absolute
jg0005,absolute,1998-1998,689 - Flagstaff,astrometric,topocentre,J2000,UTC,Catalogue - AST,absolute,no information,CCD,Flagstaff Astrometric Transit Telescope (FASTT),Stone R.C.,absolute
jg0006,absolute,1999-1999,689 - Flagstaff,astrometric,topocentre,J2000,UTC,Catalogue - AST,absolute,no information,CCD,Flagstaff Astrometric Transit Telescope (FASTT),Stone R.C.,absolute
jg0007,relative,1891-1891,051 - Cape,astrometric,topocentre,date,GMT (UT1=GMT+12h),no information,"apparent distance, position angle",removed,heliometer,"Refractor, F = 2.5 m, D = 17.8 cm","Gill David, Finlay W.H.","J1-Io:       201,"
jg0008,relative,1901-1902,051 - Cape,astrometric,topocentre,date,Cape sideral time,no information,"apparent distance, position angle",removed,heliometer,"Refractor, F = 2.5 m, D = 17.8 cm",Cookson B.,"J1-Io:       362,"
jg0009,relative,1902-1906,"786 - U.S. Naval Obs., Washington",astrometric,topocentre,date,UT1,no information,"apparent distance, position angle",removed,"Clarc micrometer, Repsold micrometer.","Equatorial, D = 26 inch","R., Br., Fk.","J1-Io:       427,"
jg0010,relative,1995-1995,874 - Itajuba (Laboratorio Nacional de Astrofisica),astrometric,topocentre,J2000.0,UTC-3h,no information,"X, Y",no information,CCD,"Ritchey-Chretien reflector, D=1.6 m, F=15.8 m","Veiga C. H., Vieira Martins R.",5-Jupiter  
jg0011,absolute,1962-1998,089 - Nikolaev,astrometric,topocentre,J2000,UTC,Transformed to ICRS system using of reference stars,absolute,no information,photographic,"Zonal astrograph, D = 120 mm, F = 2044mm","Voronenko V.I., Gorel G.K., Gudkova L.A.,",absolute
jg0012,absolute,1983-1983,"809 - European Southern Observatory, La Silla",astrometric,topocentre,B1950,UTC,no information,absolute,no information,photographic,"Equatorial, D = 40 cm",Debehogne H.,absolute
jg0013,relative,1891-1978,79 - Bordeaux-Floirac,astrometric,topocentre,"1 - mean terrestrial equatorial frame, 1950,",UTC,no information,"X, Y, tangential",no information,photographic,no information,666 - Chevalier,center of gravity of observed satellites
jg0014,relative,1990-1992,ESO: European Southern Obs. Chile,astrometric,topocentre,no information,UTC,no information,"differential or X, Y  ???",no information,photometry,no information,no information,"J1-Io      :  10,"
jg0016,relative,1976-1981,084 - Pulkovo,astrometric,topocentre,date,ET,scale-trail,"X, Y",removed,photographic,"Refractor, F = 10.4 m, D = 65 cm",Kisseleva T.P.,planet
jg0017,relative,1994-1997,250 - Hubble Space Telescope,astrometric,geocentre,J2000,GMT,no information,"X, Y",no information,CCD,HST,HST,planet
jg0018,absolute,1973-1977,"786 - U.S. Naval Obs., Washington",astrometric,topocentre,1950.0,UTC,Catalogue - SAO,absolute,no information,photographic,"1 - Astrograph, D=38 cm",1 - Christy J. W.,absolute
jg0019,absolute,2001-2005,"689 - U.S. Naval Observatory, Flagstaff",astrometric,topocentre,J2000,UTC,Catalogue Tycho-2,absolute,no information,CCD,no information,no information,absolute
jg0020,relative (heliocentric),1997-1997,210 - Alma-Ata,astrometric,heliocentre,J2000,TT,from mutual eclipses,"X, Y (heliocentric)",no information,photometric,See in the publication,See in the publication,"relative, J1 - Io : 6, J2 - Europa : 10, "
jg0021,relative,1997-1997,210 - Alma-Ata,astrometric,topocentre,J2000,TT,from mutual occultations,"X, Y",no information,photometric,See in the publication,See in the publication,"relative, J1 - Io : 3, J2 - Europa : 9, "
jg0022,absolute,2005-2006,"689 - U.S. Naval Observatory, Flagstaff",astrometric,geocentre,J2000,UTC,Catalogue Tycho-2,absolute,no information,CCD,no information,no information,absolute
jg0023,absolute,2006-2007,"689 - U.S. Naval Observatory, Flagstaff",astrometric,geocentre,J2000,UTC,Catalogue Tycho-2 (ICRF),absolute,no information,CCD,no information,no information,absolute
jg0024,absolute,1986-1997,950 - La Palma,apparent,geocentre,of date,TT,referred to the 1976 IAU reference system,absolute,no information,Meridian cercle,no information,no information,absolute
jg0025,relative,1996-1997,see observatories list in the comments,astrometric,topocenter for mutual occultation,J2000,UTC,from mutual occultations and eclipses,"X, Y (topocentric for mutual occultation",no information,photometric (see the relevant article),See in the publication,See in the publication,reference body is an occulted or eclipsed satellite.
jg0026,relative,1997-1997,see observatories list in the relevant article.,astrometric,topocenter for mutual occultation,J2000,UTC,from mutual occultations and eclipses,Position angle (topocentric for mutual occultation,no information,photometric (see the relevant article),See in the publication,See in the publication,reference body is an occulted or eclipsed satellite.
jg0027,relative,2002-2003,see observatories list with the coordinates,astrometric,topocenter for mutual occultation,J2000,UTC,from mutual occultations and eclipses,"X, Y (topocentric for mutual occultation",no information,photometric (see the relevant article),See in the publication,See in the publication,reference body is an occulted or eclipsed satellite.
jg0028,relative,2003-2003,see observatories list with the coordinates,astrometric,topocenter for mutual occultation,J2000,UTC,from mutual occultations and eclipses,Position angle (topocentric for mutual occultation,no information,photometric (see the relevant article),See in the publication,See in the publication,reference body is an occulted or eclipsed satellite.
jg0029,relative,1997-1997,see observatories list in the reference,astrometric,topocenter for mutual occultation,J2000,UTC,from mutual occultations and eclipses,"X, Y (topocentric for mutual occultation",no information,photometric (see the relevant article),See in the publication,See in the publication,reference body is an occulted or eclipsed satellite.
jg0030,relative,1986-2005,084 - Pulkovo,astrometric,topocentric,true of date,UTC,see reference,"X, Y differentials",no information,CCD,26-inch refractor,"Kiseleva T. P., Kiselev A. A., Kalinichenko O. A., Vasilyeva N. A., Khovricheva M. L.",planet
