文件名,列数
jg0001,20
jg0002,9
jg0003,5
jg0004,11
jg0005,15
jg0006,15
jg0007,15
jg0008,14
jg0009,11
jg0010,15
jg0011,8
jg0012,10
jg0013,21
jg0014,19
jg0016,6
jg0017,10
jg0018,12
jg0019,8
jg0020,16
jg0021,16
jg0022,14
jg0023,14
jg0024,10
jg0025,18
jg0026,11
jg0027,18
jg0028,11
jg0029,15
jg0030,9
jg0031,9
jg0032,11
jg0033,10
jg0034,11
jg0035,18
jg0036,11
jg0037,9
jg0038,18
jg0039,12
jg0040,15
jg0041,16
jg0042,14
jg0043,4
jg0044,10
jg0045,11
jg0046,7
jg0047,18
jg0048,12
jg0049,21
jg0050,14
jg0051,14
jg0052,8
jg0053,9
jg0054,14
jg0055,11
jg0056,13
jg0057,18
jg0058,12
jg0059,14
jg0060,11
jg0061,19
jg0062,19
jg0063,18
jg0064,12
jg0065,18
jg0066,12
jg0067,18
jg0068,12
jg0069,8
jg0070,6
jg0071,6
jg0072,14
jg0073,9
jg0074,15
ji0001,8
ji0002,8
ji0003,15
ji0004,8
ji0005,4
ji0006,4
ji0007,4
ji0008,3
ji0009,4
ji0010,18
ji0011,18
ji0012,9
ji0013,8
ji0014,7
ji0015,4
ji0016,10
ji0017,14
ji0018,19
jo0001,15
jo0002,15
jo0003,10
jo0004,11
jo0005,11
jo0006,10
jo0007,11
jo0008,11
jo0010,14
jo0011,11
jo0012,10
jo0013,5
jo0014,10
jo0015,10
jo0016,11
jo0017,18
jo0018,14
jo0019,9
jo0020,9
jo0021,9
jo0022,11
jo0023,11
jo0024,11
jo0025,11
jo0026,11
jo0027,11
jo0028,11
jo0029,11
jo0030,11
jo0031,11
jo0032,5
jo0033,19
jo0034,8
jo0035,15
jo0036,14
jo0037,14
jo0038,9
jo0039,14
jo0040,14
jo0041,14
jo0042,14
jo0043,14
jo0044,14
jo0045,14
jo0046,12
jo0047,12
jo0048,14
jo0049,13
jo0050,13
jo0051,13
jo0052,13
jo0053,15
jo0054,14
jo0055,13
jo0056,14
jo0057,16
jo0058,14
jo0059,14
jo0060,16
jo0061,13
jo0062,14
jo0063,15
jo0064,14
jo0065,14
jo0066,16
jo0067,14
jo0068,14
jo0069,8
jo0070,14
jo0071,16
jo0072,9
jo0073,10
jo0074,14
jo0075,16
jo0076,13
jo0077,9
jo0078,8
jo1001,12
jo1002,12
jo1003,12
jo1004,13
jo1005,13
jo1006,10
jo1007,10
jo1008,10
jo1009,10
jo1010,10
jo1011,10
jo1012,9
jo1013,10
jo1014,11
jo1015,10
jo1016,11
jo1017,11
jo1018,11
jo1019,11
jo1020,11
jo1021,11
jo1022,11
jo1023,11
jo1024,11
jo1025,11
jo1026,11
jo1027,11
jo1028,11
jo1029,11
jo1030,11
jo1031,11
jo1032,11
jo1033,11
jo1034,11
jo1035,15
jo1036,13
jo1037,15
jo1038,14
jo1039,12
jo1040,14
jo1041,13
jo1042,12
jo1043,12
jo1044,12
jo1045,11
jo1046,10
jo1047,10
jo1048,11
jo1049,14
jo1050,12
jo1051,14
jo1052,14
jo1053,14
jo1054,14
jo1055,14
jo1056,14
jo1057,8
jo1058,14
jo1059,14
jo1060,16
jo1061,9
